sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
27.002;6099;;30s;Yes;No;3;0.64750;1.00000;0.00000;0.32660;2.35934;RandomCounterOfferNegotiationParty@0;RandomCounterOfferNegotiationParty@1;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2;0.6475;0.7118385869287644;1.0;0.6475;0.7118385869287644;1.0;party1_utility.xml;party2_utility.xml;party_util2.xml
27.004;6806;;30s;Yes;No;3;0.54649;1.00000;0.00000;0.28479;2.20482;RandomCounterOfferNegotiationParty@3;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4;RandomCounterOfferNegotiationParty@5;0.6583333333333333;1.0;0.5464883887015706;0.6583333333333333;1.0;0.5464883887015706;party1_utility.xml;party2_utility.xml;party_util2.xml
27.007;4762;;30s;Yes;No;3;0.29693;1.00000;0.00000;0.74332;2.00321;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;RandomCounterOfferNegotiationParty@7;RandomCounterOfferNegotiationParty@8;1.0;0.2969260373579895;0.7062884806606358;1.0;0.2969260373579895;0.7062884806606358;party1_utility.xml;party2_utility.xml;party_util2.xml
27.004;6102;;30s;Yes;No;3;0.29693;1.00000;0.00000;0.74332;2.00321;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;RandomCounterOfferNegotiationParty@10;RandomCounterOfferNegotiationParty@11;1.0;0.2969260373579895;0.7062884806606358;1.0;0.2969260373579895;0.7062884806606358;party1_utility.xml;party2_utility.xml;party_util2.xml
27.001;6541;;30s;Yes;No;3;0.54649;1.00000;0.00000;0.28479;2.20482;RandomCounterOfferNegotiationParty@12;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@13;RandomCounterOfferNegotiationParty@14;0.6583333333333333;1.0;0.5464883887015706;0.6583333333333333;1.0;0.5464883887015706;party1_utility.xml;party2_utility.xml;party_util2.xml
27.001;4659;;30s;Yes;No;3;0.64750;1.00000;0.00000;0.32660;2.35934;RandomCounterOfferNegotiationParty@15;RandomCounterOfferNegotiationParty@16;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@17;0.6475;0.7118385869287644;1.0;0.6475;0.7118385869287644;1.0;party1_utility.xml;party2_utility.xml;party_util2.xml
