sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
30.000;9;;30s;No;No;2;0.00000;0.00000;1.25009;1.46673;0.00000;RandomCounterOfferNegotiationParty@0;RandomCounterOfferNegotiationParty@1;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party_util2.xml
27.468;5;;30s;Yes;No;3;0.40667;0.66420;0.40342;0.55262;1.56411;RandomCounterOfferNegotiationParty@3;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4;RandomCounterOfferNegotiationParty@5;0.4066666666666666;0.6642024020358718;0.49324060191383073;0.4066666666666666;0.6642024020358718;0.49324060191383073;party1_utility.xml;party2_utility.xml;party_util2.xml
28.396;7;;30s;Yes;No;3;0.58818;0.84000;0.02641;0.40631;2.22813;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;RandomCounterOfferNegotiationParty@7;RandomCounterOfferNegotiationParty@8;0.8400000000000001;0.5881841994879498;0.7999426029719005;0.8400000000000001;0.5881841994879498;0.7999426029719005;party1_utility.xml;party2_utility.xml;party_util2.xml
27.086;992;;30s;Yes;No;3;0.29693;1.00000;0.00000;0.74332;2.00321;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;RandomCounterOfferNegotiationParty@10;RandomCounterOfferNegotiationParty@11;1.0;0.2969260373579895;0.7062884806606358;1.0;0.2969260373579895;0.7062884806606358;party1_utility.xml;party2_utility.xml;party_util2.xml
27.151;1275;;30s;Yes;No;3;0.54649;1.00000;0.00000;0.28479;2.20482;RandomCounterOfferNegotiationParty@12;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@13;RandomCounterOfferNegotiationParty@14;0.6583333333333333;1.0;0.5464883887015706;0.6583333333333333;1.0;0.5464883887015706;party1_utility.xml;party2_utility.xml;party_util2.xml
;;failure while running session:negotiator.exceptions.NegotiationPartyTimeoutException: Negotiating party /Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@17 timed out in chooseAction() method.;;;;;;;;;;;;;;;;;;;;;
