sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
54.005;32902;;60s;Yes;No;3;0.42019;0.88981;0.23833;0.58546;1.86083;RandomCounterOfferNegotiationParty@0;RandomCounterOfferNegotiationParty@1;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2;0.5508333333333333;0.42018884242895904;0.8898101711259296;0.5508333333333333;0.42018884242895904;0.8898101711259296;party1_utility.xml;party2_utility.xml;party_util2.xml
54.002;37678;;60s;Yes;No;3;0.59702;0.75702;0.21970;0.40099;1.96320;RandomCounterOfferNegotiationParty@3;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4;RandomCounterOfferNegotiationParty@5;0.6091666666666667;0.5970188802808372;0.7570172084710745;0.6091666666666667;0.5970188802808372;0.7570172084710745;party1_utility.xml;party2_utility.xml;party_util2.xml
54.003;38289;;60s;Yes;No;3;0.65833;0.94015;0.07660;0.08684;2.37438;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;RandomCounterOfferNegotiationParty@7;RandomCounterOfferNegotiationParty@8;0.6583333333333334;0.9401512488914268;0.7758925771061571;0.6583333333333334;0.9401512488914268;0.7758925771061571;party1_utility.xml;party2_utility.xml;party_util2.xml
54.002;38799;;60s;Yes;No;3;0.37225;0.49792;0.50025;0.72698;1.35100;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;RandomCounterOfferNegotiationParty@10;RandomCounterOfferNegotiationParty@11;0.48083333333333333;0.3722490997542076;0.49792017913687714;0.48083333333333333;0.3722490997542076;0.49792017913687714;party1_utility.xml;party2_utility.xml;party_util2.xml
54.001;38635;;60s;Yes;No;3;0.44415;0.86417;0.05845;0.55437;2.06855;RandomCounterOfferNegotiationParty@12;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@13;RandomCounterOfferNegotiationParty@14;0.8641666666666666;0.44415384005119085;0.7602256466452548;0.8641666666666666;0.44415384005119085;0.7602256466452548;party1_utility.xml;party2_utility.xml;party_util2.xml
54.003;38997;;60s;Yes;No;3;0.27652;0.45385;0.61839;0.85947;1.11620;RandomCounterOfferNegotiationParty@15;RandomCounterOfferNegotiationParty@16;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@17;0.38583333333333336;0.276516365755412;0.4538545851759284;0.38583333333333336;0.276516365755412;0.4538545851759284;party1_utility.xml;party2_utility.xml;party_util2.xml
