sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
60.000;871;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@0;Atlas3@1;AgentBuyogMain@2;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;879;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@4;Atlas3@5;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;AgentBuyogMain@7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
;;failure while running session:negotiator.exceptions.NegotiationPartyTimeoutException: Negotiating party /Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9 timed out in chooseAction() method.;;;;;;;;;;;;;;;;;;;;;;;;;
20.128;393;;60s;Yes;No;4;0.62667;0.99981;0.00000;0.14906;3.27200;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@12;Mercury@13;Atlas3@14;AgentBuyogMain@15;0.6266666666666667;0.899875985396833;0.7456498011274528;0.9998059384417591;0.6266666666666667;0.899875985396833;0.7456498011274528;0.9998059384417591;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;600;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@16;Mercury@17;AgentBuyogMain@18;Atlas3@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;617;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@20;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@21;AgentBuyogMain@22;Atlas3@23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
27.246;435;;60s;Yes;No;4;0.54649;1.00000;0.00000;0.49090;2.79044;Mercury@24;AgentBuyogMain@25;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@26;Atlas3@27;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
;;failure while running session:negotiator.exceptions.NegotiationPartyTimeoutException: Negotiating party /Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@31 timed out in chooseAction() method.;;;;;;;;;;;;;;;;;;;;;;;;;
;;failure while running session:negotiator.exceptions.NegotiationPartyTimeoutException: Negotiating party /Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@35 timed out in chooseAction() method.;;;;;;;;;;;;;;;;;;;;;;;;;
60.000;755;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@36;Mercury@37;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@38;Atlas3@39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;786;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@40;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@41;Mercury@42;Atlas3@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
