sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
54.034;2667;;60s;Yes;No;3;0.53529;0.63750;0.32145;0.48252;1.77097;RandomCounterOfferNegotiationParty@3;RandomCounterOfferNegotiationParty@4;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@5;0.6375000000000001;0.5981778845757184;0.5352883887015706;0.6375000000000001;0.5981778845757184;0.5352883887015706;party1_utility.xml;party2_utility.xml;party_util2.xml
54.435;2014;;60s;Yes;No;3;0.60505;0.78604;0.16830;0.37752;2.05443;RandomCounterOfferNegotiationParty@6;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@7;RandomCounterOfferNegotiationParty@8;0.6633333333333333;0.6050508074274124;0.7860416297446502;0.6633333333333333;0.6050508074274124;0.7860416297446502;party1_utility.xml;party2_utility.xml;party_util2.xml
54.313;2807;;60s;Yes;No;3;0.30374;0.48619;0.62024;0.79521;1.16160;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;RandomCounterOfferNegotiationParty@10;RandomCounterOfferNegotiationParty@11;0.37166666666666665;0.48619257058596504;0.3037400164255278;0.37166666666666665;0.48619257058596504;0.3037400164255278;party1_utility.xml;party2_utility.xml;party_util2.xml
54.387;2483;;60s;Yes;No;3;0.61721;0.74556;0.21277;0.37894;1.99110;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@12;RandomCounterOfferNegotiationParty@13;RandomCounterOfferNegotiationParty@14;0.6283333333333333;0.6172061733515439;0.7455643069571534;0.6283333333333333;0.6172061733515439;0.7455643069571534;party1_utility.xml;party2_utility.xml;party_util2.xml
54.044;2194;;60s;Yes;No;3;0.40487;0.71667;0.18612;0.58378;1.82479;RandomCounterOfferNegotiationParty@15;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@16;RandomCounterOfferNegotiationParty@17;0.7166666666666667;0.4048729696871085;0.7032456855542742;0.7166666666666667;0.4048729696871085;0.7032456855542742;party1_utility.xml;party2_utility.xml;party_util2.xml
54.203;2571;;60s;Yes;No;3;0.51770;0.84500;0.06143;0.48154;2.10547;RandomCounterOfferNegotiationParty@18;RandomCounterOfferNegotiationParty@19;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@20;0.8450000000000001;0.5177040524311047;0.7427681552474543;0.8450000000000001;0.5177040524311047;0.7427681552474543;party1_utility.xml;party2_utility.xml;party_util2.xml
