sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
21.653;29;;30rounds;Yes;No;3;0.47731;0.71588;0.23893;0.49028;1.78653;CounterOfferHumanNegotiationParty@0;RandomCounterOfferNegotiationParty@1;RandomCounterOfferNegotiationParty@2;0.5933333333333333;0.47731022792264083;0.7158834286896382;0.5933333333333333;0.47731022792264083;0.7158834286896382;party1_utility.xml;party2_utility.xml;party3_utility.xml
14.723;29;;30rounds;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;CounterOfferHumanNegotiationParty@3;RandomCounterOfferNegotiationParty@4;RandomCounterOfferNegotiationParty@5;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
24.430;30;;30rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@6;CounterOfferHumanNegotiationParty@7;RandomCounterOfferNegotiationParty@8;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
22.090;29;;30rounds;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@9;RandomCounterOfferNegotiationParty@10;CounterOfferHumanNegotiationParty@11;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
15.099;29;;30rounds;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@12;RandomCounterOfferNegotiationParty@13;CounterOfferHumanNegotiationParty@14;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
18.772;30;;30rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@15;CounterOfferHumanNegotiationParty@16;RandomCounterOfferNegotiationParty@17;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
