sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
60.000;470;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@0;Atlas3@1;AgentBuyogMain@2;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
7.414;201;;60s;Yes;No;4;0.61417;1.00000;0.00000;0.14273;3.25482;Mercury@4;Atlas3@5;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;AgentBuyogMain@7;0.6141666666666666;0.8833992468415779;0.7572531444390406;1.0;0.6141666666666666;0.8833992468415779;0.7572531444390406;1.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;381;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@8;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;Atlas3@10;AgentBuyogMain@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;988;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@12;Mercury@13;Atlas3@14;AgentBuyogMain@15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;725;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@16;Mercury@17;AgentBuyogMain@18;Atlas3@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;355;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@20;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@21;AgentBuyogMain@22;Atlas3@23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
27.248;589;;60s;Yes;No;4;0.54649;1.00000;0.00000;0.49090;2.79044;Mercury@24;AgentBuyogMain@25;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@26;Atlas3@27;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;0.6583333333333333;1.0;0.5856226065195247;0.5464883887015706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;422;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Mercury@28;AgentBuyogMain@29;Atlas3@30;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;735;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@32;Mercury@33;Atlas3@34;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
57.920;422;;60s;Yes;No;4;0.46849;0.96667;0.03202;0.59106;2.71961;AgentBuyogMain@36;Mercury@37;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@38;Atlas3@39;0.9666666666666668;0.46848669727080305;0.5725677555043213;0.7118884806606358;0.9666666666666668;0.46848669727080305;0.5725677555043213;0.7118884806606358;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;876;;60s;No;No;3;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@40;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@41;Mercury@42;Atlas3@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;537;;60s;No;No;3;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@44;AgentBuyogMain@45;Mercury@46;Atlas3@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;1009;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@48;AgentBuyogMain@49;Atlas3@50;Mercury@51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
24.251;565;;60s;Yes;No;4;0.29693;1.00000;0.00000;0.72080;2.60006;AgentBuyogMain@52;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@53;Atlas3@54;Mercury@55;1.0;0.2969260373579895;0.5968500104495003;0.7062884806606358;1.0;0.2969260373579895;0.5968500104495003;0.7062884806606358;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
59.605;427;;60s;Yes;No;4;0.43471;0.91755;0.02759;0.42979;2.86941;AgentBuyogMain@56;Atlas3@57;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@58;Mercury@59;0.7483333333333333;0.43470846980552685;0.7688226210393112;0.91754630276396;0.7483333333333333;0.43470846980552685;0.7688226210393112;0.91754630276396;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;426;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;AgentBuyogMain@60;Atlas3@61;Mercury@62;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;420;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@64;AgentBuyogMain@65;Mercury@66;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;960;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@68;AgentBuyogMain@69;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@70;Mercury@71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;660;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@72;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@73;AgentBuyogMain@74;Mercury@75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
52.229;921;;60s;Yes;No;4;0.24584;0.96285;0.14113;0.70923;2.37387;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@76;Atlas3@77;AgentBuyogMain@78;Mercury@79;0.56;0.24584361660970475;0.9628450418176329;0.6051783969002174;0.56;0.24584361660970475;0.9628450418176329;0.6051783969002174;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;491;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@80;Atlas3@81;Mercury@82;AgentBuyogMain@83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;478;;60s;No;No;2;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@84;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@85;Mercury@86;AgentBuyogMain@87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;516;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@88;Mercury@89;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@90;AgentBuyogMain@91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
60.000;611;;60s;No;No;1;0.00000;0.00000;1.31618;1.67129;0.00000;Atlas3@92;Mercury@93;AgentBuyogMain@94;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party_util2.xml
