sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
14.717;4806;;60s;Yes;No;3;0.69167;0.76510;0.08786;0.20072;2.21407;Mercury@0;Atlas3@1;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2;0.6916666666666667;0.7573103866123065;0.7650971568330336;0.6916666666666667;0.7573103866123065;0.7650971568330336;party1_utility.xml;party2_utility.xml;party3_utility.xml
6.664;2464;;60s;Yes;No;3;0.59667;0.89872;0.00000;0.35992;2.17638;Mercury@3;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4;Atlas3@5;0.5966666666666667;0.6809978812108559;0.8987175518059385;0.5966666666666667;0.6809978812108559;0.8987175518059385;party1_utility.xml;party2_utility.xml;party3_utility.xml
7.993;3313;;60s;Yes;No;3;0.64241;0.86935;0.00000;0.32497;2.27009;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;Mercury@7;Atlas3@8;0.7583333333333334;0.6424119955534886;0.8693465452612584;0.7583333333333334;0.6424119955534886;0.8693465452612584;party1_utility.xml;party2_utility.xml;party3_utility.xml
6.537;2944;;60s;Yes;No;3;0.58678;0.90411;0.00000;0.13314;2.27589;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@9;Atlas3@10;Mercury@11;0.7850000000000001;0.9041140069845697;0.5867808960841429;0.7850000000000001;0.9041140069845697;0.5867808960841429;party1_utility.xml;party2_utility.xml;party3_utility.xml
9.227;3621;;60s;Yes;No;3;0.69241;0.85649;0.00000;0.09921;2.39723;Atlas3@12;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@13;Mercury@14;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.168;1678;;60s;Yes;No;3;0.21529;0.94000;0.00000;0.72993;1.87568;Atlas3@15;Mercury@16;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@17;0.9400000000000001;0.21528669753995108;0.7203899149670763;0.9400000000000001;0.21528669753995108;0.7203899149670763;party1_utility.xml;party2_utility.xml;party3_utility.xml
