sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
0.296;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;CounterOfferHumanNegotiationParty@75;RandomCounterOfferNegotiationParty@76;RandomCounterOfferNegotiationParty@77;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.397;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@78;CounterOfferHumanNegotiationParty@79;RandomCounterOfferNegotiationParty@80;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.291;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@81;RandomCounterOfferNegotiationParty@82;CounterOfferHumanNegotiationParty@83;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.261;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@84;RandomCounterOfferNegotiationParty@85;CounterOfferHumanNegotiationParty@86;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.504;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@87;CounterOfferHumanNegotiationParty@88;RandomCounterOfferNegotiationParty@89;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.173;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;CounterOfferHumanNegotiationParty@90;RandomCounterOfferNegotiationParty@91;RandomCounterOfferNegotiationParty@92;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.252;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;CounterOfferHumanNegotiationParty@93;RandomCounterOfferNegotiationParty@94;RandomCounterOfferNegotiationParty@95;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.339;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@96;CounterOfferHumanNegotiationParty@97;RandomCounterOfferNegotiationParty@98;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.291;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@99;RandomCounterOfferNegotiationParty@100;CounterOfferHumanNegotiationParty@101;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.266;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@102;RandomCounterOfferNegotiationParty@103;CounterOfferHumanNegotiationParty@104;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.356;2;;60s;No;No;0;0.00000;0.00000;1.16612;1.41191;0.00000;RandomCounterOfferNegotiationParty@105;CounterOfferHumanNegotiationParty@106;RandomCounterOfferNegotiationParty@107;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
