sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
;;failure while running session:negotiator.exceptions.NegotiationPartyTimeoutException: Negotiating party /Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@2 timed out in chooseAction() method.;;;;;;;;;;;;;;;;;;;;;
27.001;7381;;30s;Yes;No;3;0.54649;1.00000;0.00000;0.28479;2.20482;RandomCounterOfferNegotiationParty@3;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@4;RandomCounterOfferNegotiationParty@5;0.6583333333333333;1.0;0.5464883887015706;0.6583333333333333;1.0;0.5464883887015706;party1_utility.xml;party2_utility.xml;party_util2.xml
27.001;8208;;30s;Yes;No;3;0.29693;1.00000;0.00000;0.74332;2.00321;/Users/Kharisnawan/git/AI2016Group16assignment/bin/ai2016/Group16@6;RandomCounterOfferNegotiationParty@7;RandomCounterOfferNegotiationParty@8;1.0;0.2969260373579895;0.7062884806606358;1.0;0.2969260373579895;0.7062884806606358;party1_utility.xml;party2_utility.xml;party_util2.xml
